,"k-means clusters 500, (Joules)"
363,3.2945557865419833e-20
364,3.538883351898518e-20
365,3.3538323224236226e-20
366,2.7698416217160435e-20
367,3.577708973901024e-20
368,1.6717896603200926e-20
369,3.468902937956919e-20
370,3.199750775109955e-20
371,2.3594416486665862e-20
372,3.583628734096806e-20
373,1.5982460635849007e-20
374,3.3043957545484896e-20
375,3.582067883797922e-20
376,3.993381113060159e-20
377,3.353939559529981e-20
378,3.275993830862378e-20
379,3.4557062209820224e-20
380,3.502224667650803e-20
381,3.218806532655959e-20
382,3.572151933480177e-20
383,2.6616713043298643e-20
384,1.7285188726212852e-20
385,3.725644081935639e-20
386,2.4501839643872774e-20
387,3.7832092891440167e-20
388,2.3653067953197112e-20
389,1.8460514054541183e-20
390,3.0482425914317295e-20
391,3.133828981934783e-20
392,3.440869460057511e-20
393,3.5614328857253787e-20
394,3.4357688219666485e-20
395,3.476974299430763e-20
396,3.650675861979135e-20
397,2.6931624697197366e-20
398,3.2884831368887176e-20
399,3.2196913380401925e-20
400,3.461063862880713e-20
401,3.671716848496482e-20
402,3.376840969816533e-20
403,2.868280396398934e-20
404,3.155351237479325e-20
405,3.351822464189819e-20
406,3.70760226309972e-20
407,3.50320307181232e-20
408,3.307882065879804e-20
409,2.0697236584736323e-20
410,2.5984266618160055e-20
411,2.2290677405717163e-20
412,3.5039129761120536e-20
413,3.4035794635980555e-20
414,3.4638115499180886e-20
415,3.725082665935633e-20
416,3.3094878569761e-20
417,3.3257895665287776e-20
418,3.758149643708441e-20
419,3.2494836889240407e-20
420,3.438859813633842e-20
421,3.320758520864361e-20
422,3.1261515246802165e-20
423,3.5927192067625383e-20
424,3.3262755170602906e-20
425,3.0510376601511696e-20
426,3.6768027939313866e-20
427,3.630379377186154e-20
428,3.446521324823593e-20
429,3.2784950968087785e-20
430,3.2957170467892634e-20
431,3.561536301595507e-20
432,3.7069780687429856e-20
433,3.27081352111505e-20
434,3.2523271850222276e-20
435,3.553152891113316e-20
436,3.830954023585737e-20
437,3.3916316122357114e-20
438,3.579374194976021e-20
439,2.2086708968613722e-20
440,2.5401327412050167e-20
441,1.6617941010930663e-20
442,3.1003400991639255e-20
443,3.7563487489207013e-20
444,3.2562932909387637e-20
445,3.096000329401168e-20
446,3.461264293119771e-20
447,3.133493579060263e-20
448,3.090267117071646e-20
449,3.609505742256836e-20
450,3.4859168365410093e-20
451,3.333995013137823e-20
452,3.5909613010454315e-20
453,1.8648627846556238e-20
454,2.3299060218567164e-20
455,3.4618998465985693e-20
456,3.087996786225268e-20
457,1.677742180547109e-20
458,3.183940092154194e-20
459,4.27824891967266e-20
460,3.629555091518002e-20
461,3.450665230987643e-20
462,1.9587638417735368e-20
463,3.082606407524699e-20
464,3.005625888405551e-20
465,3.1847031451786045e-20
466,3.5265901379541747e-20
467,3.474368441378296e-20
468,3.6003766368916496e-20
469,2.1174094500513057e-20
470,3.362442670126234e-20
471,3.752127050858968e-20
472,3.24647873179086e-20
473,3.641043131122502e-20
474,3.6370455413004885e-20
475,3.346122386649903e-20
476,2.141865192181688e-20
477,1.926890401721382e-20
478,3.3361962404316615e-20
479,3.913229855519136e-20
480,3.232792462659567e-20
481,3.525103261454881e-20
482,3.9582924748454524e-20
483,3.4261518489898334e-20
484,3.4227539743767744e-20
485,2.0140469754784526e-20
486,3.2834853283041396e-20
487,3.717497524828754e-20
488,1.9857752817287947e-20
489,4.0102546472236786e-20
490,3.3965943849291835e-20
491,2.9983903839661185e-20
492,3.745460364309961e-20
493,3.597061701935375e-20
494,2.3013079992107732e-20
495,1.9343303350665986e-20
496,3.2391744366032115e-20
497,3.6289034345450596e-20
498,2.4644769462427515e-20
499,3.7286669620957784e-20
